#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
66,Harrison Barnes,SAC,7,28.1,10.7,3.6,8.6,0.417,0.9,3.6,0.24,2.7,3.7,0.731,1.4,2,3.4,0.7,1.1,0.3,0.4,0.7
67,Kentavious Caldwell-Pope,DEN,20,33.5,10.6,3.7,8.1,0.457,1.8,4.6,0.38,1.5,1.8,0.829,0.7,2.6,3.3,1.6,1.3,0.7,0.8,2.4
68,Terance Mann,LAC,5,26.6,10.6,3.8,6.6,0.576,1.8,3.8,0.474,1.2,1.8,0.667,1.4,1.8,3.2,2.2,0.8,0.2,1.8,3.4
69,Nicolas Claxton,BRK,4,29.2,10.5,4.5,6.3,0.72,0,0,0,1.5,2.5,0.6,1.3,6.8,8,1.5,0.3,1.8,0.8,2
70,Dillon Brooks,MEM,6,27.9,10.5,4,12.8,0.312,1.7,7,0.238,0.8,1.2,0.714,0.5,2.5,3,1.8,0.2,0,1.2,3.3
71,Josh Hart,NYK,11,32.1,10.4,4.1,8.5,0.479,0.9,2.9,0.313,1.3,2,0.636,1.6,5.7,7.4,2.2,0.8,0.3,1.9,3.5
72,Jordan Poole,GSW,13,21.8,10.3,3.5,10.4,0.341,1.2,4.8,0.254,2,2.6,0.765,0.3,1.8,2.2,3.5,0.8,0.2,1.2,2.5
73,Eric Gordon,LAC,5,29.8,10.2,3.6,8.8,0.409,2,5.8,0.345,1,1.2,0.833,0.2,1.2,1.4,2.6,0.6,0.4,0.8,2.4
74,Evan Mobley,CLE,5,37.5,9.8,4.4,9.6,0.458,0,0.2,0,1,1.6,0.625,3,7,10,2,0.6,1.2,2.4,2.6
75,Keegan Murray,SAC,7,27.7,9.7,3.7,8.3,0.448,1.7,4.6,0.375,0.6,0.9,0.667,2.1,4.1,6.3,0.7,0.6,0.3,0.6,2.6
76,Bobby Portis,MIL,5,21.5,9.6,4,8.2,0.488,1,3.6,0.278,0.6,0.6,1,2,6.2,8.2,1.2,0.6,0.4,0.8,3
77,Draymond Green,GSW,12,30.6,9.4,3.5,7.6,0.462,0.4,1.7,0.25,2,2.8,0.727,1.6,5.3,6.9,6.8,1.5,1,2.3,4
